,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,min_salary,max_salary,avg_salary,Company_name_text,State,Age of company,python_y,sql_y,aws_y,spark_y,tableau_y,excel_y,r_studio_y,power_bi_y,desc_len,seniority
0,Data Analyst,$42K-$75K (Glassdoor est.),"DEPARTMENT: Analytics
POSITION SUMMARY
NewDay USA is a leading nationwide lender focusing on providing financial solutions to American families. Our analytics team is currently seeking a data analyst to join our team on a full-time basis.
POSITION DUTIES AND RESPONSIBILITIES
Analyzing business data
Summarizing different analysis results and presenting findings
Conducting business studies on demand
Managing existing reporting services as well as creating and automating ad-hoc reports
Operating enterprise-specific software
Troubleshooting regular dataflow functions
Running and optimizing day-to-day business functions
Managing projects and business accounts
POSITION QUALIFICATIONS
Education/Certification:
Bachelor’s Degree in mathematics, statistics, or related fields
Experience:
Strong analytical, business and problem solving skills
Experience with MS Office products
Expertise in MS Excel
Attention to detail
Efficient organizational skills and demonstrated follow-through on deliverables
Strong interpersonal, verbal and written communication skills
Prior operations experience within a financial firm is a plus
Experience with MS SQL Server database and/or the SQL language is a plus

Our Values:
Ship, Shipmate, Self
Training for a Career
World-Class Service
Providing Opportunity
Integrity
Resilience
Giving Back
Our Diversity:
We aim to foster a culture where individuals of all backgrounds feel confident in bringing their whole selves to work, feel included and their talents are nurtured, empowering them to contribute fully to our vision and goals. It is the policy of NewDay USA to ensure equal employment opportunity without discrimination on the basis of race, color, creed, religion, national origin, alienage or citizenship status, age, sex, sexual orientation, gender identity or expression, marital or domestic/civil partnership status, disability, veteran status, genetic information, or any other basis protected by law.
Benefits:
Health Insurance
401K
Competitive Salary
Uncapped Bonuses
Profit Sharing",3.9,"NewDay USA
3.9","Fulton, MD",-1,501 to 1000 Employees,1999,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1,0,42000,75000,58500.0,NewDay USA,MD,21,0,1,0,0,0,1,0,0,2032,na
1,Market Data Analyst,$59K-$104K (Glassdoor est.),"Thursday, October 22, 2020

Market Support Services analysts work across the organization to analyze changes to the New England energy markets, develop requirements for software systems to administer the markets, provide feedback on technical software designs, and perform software testing.

How You Will Make an Impact
Participate in discussions with internal stakeholders during formation and/or modification of Market Rules that affect the business processes of supported business groups.
Ensure quality software solutions are delivered by developing and reviewing business requirements and performing software testing.
Work with business units to understand stakeholder needs.
Complete development of calculation verification tools for Settlements software solutions.
Work with business groups to identify improvements to business processes.
Act as a liaison between business stakeholders and software development teams.
Provide business analysis on multiple projects of varying duration, size, and complexity
What we are looking for
Bachelor’s Degree in Mathematics, Electrical Engineering, Computer Science or Information Systems, Business Administration or other applicable discipline. Master’s Degree preferred for Senior Analyst and up
Strong Microsoft Excel skills with experience in building and\or updating macros using VBA
Knowledge of SQL and SAS
Strong communication and collaboration skills
Detail-oriented with strong organizations skills
Ability to work in a team and individually
Ability to uncover, understand and translate business needs into business requirements
Knowledge of Agile methodology, Scrum framework a plus
Familiarity with Confluence and/or Jira a plus

ISO New England oversees the 24/7 operation of the power grid that covers the six-states of New England and administers the region’s $10+ billion “stock exchange” for the buying and selling of wholesale electricity. The power system is constantly evolving as new technologies emerge and energy policies evolve. There is a lot going on at our organization behind the scenes to make sure the grid continuously yields reliable electricity at competitive prices while addressing the unique challenges that come along with our industry.

What We Offer: ISO New England is located in Holyoke, MA. The company provides a base salary plus bonus, competitive Medical and Dental plan, paid vacation, 401k with company match, retirement plan and more. All benefits start on your first day.

Equal Opportunity

We are proud to be an EEO/AA employer. Applicants for employment are considered without regard to race, creed, color, citizenship, religion, sex, sexual orientation, marital status, national origin, age, disability, status as a veteran, Vietnam Era Veteran, or being a member of the Reserves or National Guard.

Drug Free Environment

We maintain a drug-free workplace and perform pre-employment substance abuse testing.

Social Networking Notice
ISO New England reserves the right to review the candidate's postings on any social networking site accessible in the public domain as part of the candidate assessment process.

Career Opportunities at ISO New England

Other details
Pay Type
Salary",3.8,"ISO New England
3.8","Holyoke, MA",-1,501 to 1000 Employees,1997,Nonprofit Organization,Utilities,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,-1,0,59000,104000,81500.0,ISO New England,MA,23,0,1,0,0,0,1,0,0,3183,na
2,Senior Data Analyst,$83K-$141K (Glassdoor est.),"Do you want to innovate customer experiences and make business decisions smarter through data? Are you ready to join a collaborative and motivated team diving into cutting edge big data technology? As an Senior Data Analyst on the Single View of the Customer (SVOC) team, you’ll thrive in a fast-paced innovative culture that turns data into information, and uses that information to drive action. You will have the opportunity to interact with all our SVOC scrum teams, ensuring that we are incorporating new technologies seamlessly, all while providing value to our customers. This opportunity also allows you to dive in to complex technologies, and work with a very forward-thinking group of peers!

Familiar, but never leveraged big data technologies? No worries! When you first join our SVOC team, you will have the opportunity to come up to speed on the cutting-edge technologies we use to develop SVOC!

Basic Qualifications:

o Significant experience in facilitating the discovery process with functional stakeholders to identify requirements and expected outcomes.
o Experience in developing test plans and scenarios to ensure the highest quality deliverables
o Strong SQL, data mapping, and data profiling skills
o Working knowledge of Big Data and the Hadoop Ecosystem
o Outstanding time management skills and attention to detail
o Excellent verbal/written communication skills, including communicating technical issues to non-technical audiences
o Strong presentation skills. Should be comfortable with presenting to all levels of management
o A Bachelor's degree in Information Technology, related field (business, finance, mathematics, computer science), or equivalent professional experience is required

Preferred Qualifications:

o Understanding and experience with Web Services and APIs
o Experience in querying NoSQL databases
o Knowledge and experience working in an Agile environment
o Exposure to QLIK or other data visualization tools
o Experience with providing Production Support

Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

Qualifications

About GEICO:

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

As a full-time Senior Data Analyst, you’ll enjoy our Total Rewards Program* to help secure your financial future and preserve your health and well-being, including:

• Premier Medical, Dental and Vision Insurance with no waiting period**
• Paid Vacation, Sick and Parental Leave
• 401(k) Plan with Profit Sharing
• Tuition Reimbursement
• Paid Training and Licensures
Benefits may be different by location. Benefit eligibility requirements vary and may include length of service.
*Coverage begins with the pay period after hire date. Must enroll in New Hire Benefits within 30 days of the date of hire for coverage to take effect.",3.4,"GEICO
3.4","Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,83000,141000,112000.0,GEICO,MD,84,0,1,0,0,0,1,0,0,3587,senior
3,Data Analyst,$50K-$88K (Glassdoor est.),"Rational is growing, and we need amazing talent to join our team. If you have an entrepreneurial attitude with a deep spirit of service and killer subject expertise, we want to talk to you. We are always looking for the next great consultant to raise the bar and push Rational to be better than we were yesterday. Staying hungry, curious, and looking forward to what’s next is part of our DNA.

This Data Analyst will be part of Rational's Technology & Data Practice and supporting one of our large biotech projects. This individual will provide strategic and tactical consultation, leadership in delivering solutions, and oversight of processes and systems.  The position requires solid technical foundation, domain knowledge, as well as strong verbal and written communication skills with a proven ability to clearly communicate technical information to a non-technical audience.

This is a full time position within Rational's Technology Practice. This position is not available for Visa sponsorship or C2C work.

What you will do:
Serve as the Business Analyst subject matter expert supporting, but not limited to Commercial portfolio
Network with a new and evolving IT environment, business team, and vendors to foster strong relationships and build partnerships
Understand strategy and how it translates to executable programs, projects, and efforts that align with strategic goals while taking the environmental constraints and opportunities into account
Collaborate with cross-functional professionals to deliver high-quality and innovative solutions that meet the business needs and create new opportunities
Provide analytic support of various levels of complexity including large, multi-year, cross-functional efforts with internal and external influencing factors
Negotiate conflicts and complex issues to an expeditious and satisfactory resolution
What you will bring:
3+ years of exposure to the orchestrating technology solutions for technical and/or Biotechnology or Pharmaceutical organizations
3+ years of experience in the Business Analysis or equivalent role with solution delivery and process improvement supporting cross-functional implementation of IT solutions in the Biotechnology or Pharmaceutical industry
3+ years of experience in organization financials, financial reporting
Familiarity with applications used in the business area such as Salesforce and Veeva
Working experience in SQL Server and Snowflake (preferred, but not required)
Proven knowledge of IT solutions and application management through various product cycles and evolving work environments
Demonstrated technical understanding of application architecture to include application servers, web servers, configuration files, relational databases, and reporting applications
Ability to proactively plan, organize, deliver with limited oversight, prioritize, and quickly adapt to changing situations
Excellent communication skills, including the ability to interface and influence internal and external partners at multiple organization levels
Strong interpersonal and negotiation skills, with a high degree of self-motivation and ability to work independently
Proficient in essential tools such as Power BI, Smartsheets, PowerPoint, Visio, etc.
Who you are:
Data Lover. You know your numbers and value the metrics behind the buyer story.
Collaborative to the Core. Demonstrated ability to work in a team environment, as a leader and member.
Well-rounded Professional. You have amazing communication and organizational skills along with high EQ.
Proactive. You are always thinking ahead about what is best for the Client.
Adaptable. Change happens at lightning speed; you are flexible, enjoy challenge, and get behind new ideas
Rational is a customer experience (CX) solutions firm that pairs the capabilities of a strategic consultancy with the creativity of a full-service digital agency. We design and activate compelling experiences that create strong connections between people and brands. We put humans at the center of business and partner with our clients to deliver meaningful experiences that help their customers while driving business success. Customer satisfaction at every level is our ultimate metric, and it's what drives our mindset, skillset, and company culture.

Incredible people are our non-negotiable. Our experienced team of consultants spans the globe. We love what we do, and who we do it with – let’s begin our next chapter together.

Rational is committed to ensuring all candidates have an equal opportunity to be considered for employment. Please let us know if you need any reasonable accommodation to participate in the job application or interview process.",2.7,"Rational
2.7","Redmond, WA",-1,201 to 500 Employees,2009,Company - Public,Consulting,Business Services,Unknown / Non-Applicable,-1,0,50000,88000,69000.0,Rational,WA,11,0,1,0,0,0,1,0,1,4680,na
4,Web Data Analyst,$65K-$79K (Employer est.),"Web Data Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Our customer promise is worth bragging about. Use your marketing and advertising expertise to spread the word and grow our business.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Collect web data and statistics for Uline’s various eCommerce websites (Uline.com, Uline.ca and Uline.mx).
Analyze data and provide weekly and monthly reports to management.
Make recommendations to improve website and reduce return rates.
Translate complex and analytical work into easy to understand data points.
Respond to ad hoc reporting requests and maintain relationships with various departments.

Minimum Requirements
Bachelor's degree.
Experience using Google Analytics or Adobe Analytics.
Experience using a data visualization tool such as Power BI or Tableau.
2+ years experience in website analysis.
Proficient in Microsoft Excel with some knowledge of SQL and / or Google BigQuery.
Well organized and detail-oriented with an ability to multitask.
Strong analytical and problem-solving skills.

Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs that include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.

Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First-class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.

About Uline

Uline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.

Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

EEO/AA Employer/Vet/Disabled

#LI-SR1
#CORP",3.5,"Uline
3.5","Milwaukee, WI",-1,5001 to 10000 Employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,-1,0,65000,79000,72000.0,Uline,WI,40,0,1,0,0,1,1,0,1,2765,na
6,Marketing Data Analyst,$34K-$62K (Glassdoor est.),"Can you work in a relationship with other people where it requires ongoing flexibility?
Do you have an upbeat, positive attitude?
Do you take pride in knowing you are helping to make things happen?
If you can answer yes to these questions, Idaho Central Credit Union may have an opportunity ideally suited for you.
As a Marketing Data Analyst, your primary function is to interpret credit union data, analyze results and implement decisions based on the data. You will be responsible for turning data into information and insight that aids in campaign and business decisions. Also you will be responsible for performing a range of functions in support of market research, market assessment and campaign implementation.

Assist in managing technical aspects of key marketing systems (marketing automation, CRM, data warehouse) used to generate, distribute, and report.
Establish and maintain scalable processes that ensure best practices in campaign and lead management.
Create and maintain metrics reports on marketing and sales activities, effectiveness, and business impact.
Analyze marketing and sales data to develop insights and make recommendations on areas for optimization
Monitor and maintain data quality within the marketing database.
Evaluate new technologies and add-on applications to improve and optimize marketing team performance.
Manage membership targeting to strengthen relationships, prevent attrition, and increase profitability.
Leverage web and email engagement to create member insight and data to help improve individual experiences with our digital channels.
Generate and govern segmentation efforts by developing queries and custom reports, target groups, and campaigns for product and service performance.
Track all marketing campaigns and provide meaningful analysis and insight for future efforts.
Analyze consumer segments and other demographic information from the membership database to provide insight for product development, usage, and cross-sell opportunities.
Manage third-party vendor integration with marketing systems including Salesforce Marketing Cloud, Salesforce Advertising Studio, Salesforce CRM, Adobe Analytics, Integrator MCIF, Encompass CRM and Microsoft Power BI.
Represent the Credit Union at community events as needed.

Bachelor’s Degree in Marketing, Mass Communication, Advertising or related field. 5-9 years of experience with database marketing required. Preferable experience with: Raddon Integrator MCIF, Salesforce Marketing Cloud, Salesforce Advertising Studio, Salesforce CRM, Adobe Analytics, Microsoft Power BI, SQL, and data warehouse experience. Strong analytical skills. Proficiency in marketing automation systems and integrating those systems with other technologies. Technically capable, excellent communicator and a desire to improve processes. Math skills, Secondary-level computer knowledge including Microsoft Office, especially Excel and pivot tables, etc. Ability to maintain the confidentiality of Credit Union and member records at all times. A demonstrated cooperative and positive attitude toward members and other Credit Union staff. Professional in appearance, attendance, quality, and quantity of work performed. Ability to analyze member needs, develop, and coordinate marketing activities to fit member needs with Credit Union products and services. Must be willing to comply with the Bank Secrecy Act and USA Patriot Act as implemented by Idaho Central Credit Union. Team member will be asked to work extended/unique hours.
Perform tasks requiring manual dexterity (processing paperwork, filing, stapling, sorting, collating, typing, counting cash, etc.) Sit for extended periods of time. Lift 20-40 pounds of office supplies (copy paper, computer paper, mail, etc). Some heavy lifting may be required in order to execute proper event logistics. Repetitive motion using wrists, hands, and fingers. Reach keyboards. Ability to operate basic office machines (calculator, computer, telephone, copy machine, fax machine, etc).
Must be eligible for membership at Idaho Central Credit Union to obtain employment.
EOE/Minorities/Females/Vet/Disability
Idaho Central Credit Union is a dynamic financial institution that is focused on helping our members achieve financial success. Established in 1940 we have become the largest and fastest growing financial institution in the state of Idaho. ICCU was voted for large companies the Best Place to work in Idaho. We have also been named by S&P Global Market Intelligence as the top performing credit union in the nation. We are a talent based organization looking for talented individuals to help our members achieve financial success.",4.2,"Idaho Central Credit Union
4.2","Chubbuck, ID",-1,1001 to 5000 Employees,1940,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD),-1,0,34000,62000,48000.0,Idaho Central Credit Union,ID,80,0,1,0,0,0,1,0,1,4665,na
7,Data Quality Analyst,$28K-$35K (Glassdoor est.),"The role of Data Quality Analyst is an integral role in our rapidly growing company. This is an excellent opportunity for intelligent, outgoing, and self-motivated persons seeking rapid professional development and acquisition of new business skills. Your primary responsibilities will be working closely with internal and external users to maintain the quality of VIP’s master retailer database and aligning customer sales data to that retailer universe. As this data is central to the operation of our clients’ businesses, you will need to bring a high level of attention to detail and willingness to find solutions to problems in a systematic and efficient way. Ideal candidates for this entry level position will understand the importance of building and maintaining relationships with our customers. Successful candidates must also work well both individually as well as part of a team to accomplish shared goals.

Requirements:
History of solid employment
Strong analytical and reasoning skills to assess and implement information from multiple resources
Clear communication skills
Self-organization to meet daily, weekly and monthly responsibilities, both to the company and the customer
Strong computer skills and knowledge of working with spreadsheets (Excel)
College preferred but not required

All full time job offers are contingent upon passing a pre-employment drug screening and background check.
LOCAL APPLICANTS ONLY",3.7,"Vermont Information Processing
3.7","Colchester, VT",-1,201 to 500 Employees,1972,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,28000,35000,31500.0,Vermont Information Processing,VT,48,0,0,0,0,0,1,0,0,1433,na
8,Data Analyst II,$53K-$91K (Glassdoor est.),"Who is Cenlar?

You are.

Employee-owners have made Cenlar one of the nation’s largest mortgage subservicers. We have achieved success by empowering people with company ownership, real programs that provide avenues for advancement, and a great atmosphere that makes everyone look forward to the workday. Get your share of our success by considering the opportunity to join our team as a Data Analyst II.

Job Summary:

Responsible for working with large and complex data sets (both internal and external data) to evaluate, recommend, and support the implementation of business strategies. Identifies and compiles data sets using a variety of tools (e.g. SQL, Access) to help predict, improve, and measure the success of key business to business outcomes. Responsible for documenting data requirements, data collection/processing/cleaning, and exploratory data analysis; which may include utilizing statistical models/algorithms and data visualization techniques. Incumbents in this role may often be referred to as Data Scientists.

Responsibilities:
Day-to-day actions are focused on administering defined procedures, analysis and report preparation.
Commands knowledge of data elements across the enterprise and industry – definitions, lineage and usage
Executes creation of tabular operational reports and aggregation reports with medium to high complexity.
Commands intermediate to expert level t-SQL coding proficiency
Performs data mapping for systems integration, data provisioning, and data consumption
Responsible for documenting metadata, data lineage, data definitions and business glossary entries.
Handles basic data transformation tasks such as date and decimal formatting, rounding of numeric values, and conversion of numeric values to percentages.
Has intermediate to expert level SSIS ETL build proficiency
Works with Data stewards to enforce adherence to standards for enhancements and new repositories.
Handles more complicated report requests, data visualizations, forecasting, regression modeling, sequencing (e.g. Fibonacci or similar) and trend analysis.
Can deduce portfolio or market trends from reports or chart analysis.
Understands business logic for aggregation and analysis services.
Can perform data transformation and can produce dimensional reports
Can perform basic data profiling activities, understands cardinality
Helps to define guidelines for data management, governance and reporting
May direct day-to-day work of employees, but will not typically have formal management role.
Individual at this level is expected to use some independence of thought but to refer more complex problems to supervisors or other experts.
Individual would be expected to contribute to work flow or process change and redesign and to form a strong basic understanding of the specific product or process.
Qualifications:
Typically exhibits strong executional capabilities and is beginning to take on more responsibility.
Primary focus is on execution within defined parameters, with some expansion based on developing capabilities and or experiences. In partnership with more experienced staff.
Minimum of 5 years of experience.
Bachelor’s degree in computer science, finance, mathematics, statistics (or similar) or equivalent work experience
Total Rewards:

Cenlar FSB offers outstanding benefits which may include paid medical/dental/life insurance, 401k, employee ownership, tuition assistance, a supportive work environment, and genuine opportunities for advancement. Cenlar is a Drug Free Workplace and an Equal Employment Opportunity/Affirmative Action Employer -- M/F/D/V/SO.

Visit www.cenlar.com for more details.

Please apply online.",2.5,"Cenlar
2.5","Ewing, NJ",-1,1001 to 5000 Employees,1958,Company - Private,-1,-1,$100 to $500 million (USD),-1,0,53000,91000,72000.0,Cenlar,NJ,62,0,1,0,0,0,0,0,0,3663,na
9,Data Analyst,$38K-$75K (Glassdoor est.),"Big Huge Games is looking for a qualified Data Analyst to help provide data insights to our games teams and upcoming BHG titles to assist them in making successful strategic and game direction decisions. This role works closely with our Product and Design teams to structure quantitative questions, gather player data, employ statistical methodology in analysis of the data, and construct insightful reporting and visualizations to communicate those results to the wider team.

Responsibilities
Provide reports and monitoring tools to assist team in daily game health assessment
Perform in-depth analysis of game metrics to inform and support both short and long-term product direction decisions
Communicate the results of analyses to the product team, game studio, and outside partners through data visualization and presentations
Qualifications
3-5 years experience with querying large complex data sets with SQL on relational databases
Several years experience performing quantitative analysis preferably with a games, web, or technology focus
High level of proficiency in data visualization tools such as Tableau, Excel, or equivalent
Passion for problem solving, from generating insightful questions to research, through presentation of results and follow-on steps
Track record of success working in fast-paced environments with shifting priorities and deadlines
Ability to work in both individual and team settings
Excellent organizational, communication, presentation, and interpersonal skills
Bachelor's degree in Mathematics, Statistics, Economics, Computer Science, or another quantitative field
About Big Huge Games:

Big Huge Games is a small, passionate team led by experienced game development veterans, proudly located just north of Baltimore, MD, who are excited about the rise of touchscreen platforms. We believe in hiring talented team members who enjoy working in a fun and positive environment.

The company was founded in March of 2013 by Brian Reynolds (Civilization II, Rise of Nations, FrontierVille) and a group of longtime collaborators. Big Huge Games is dedicated to ""Finding The Fun"" through rapid prototyping and a focus on great user experience.

In July 2015 we launched our first game, DomiNations, which was awarded “Editors Choice” in the app store and continues to be successful with audiences across the globe. In 2016 we were acquired by our publisher, Nexon, and now operate as a wholly-owned subsidiary, allowing us the stability of a larger studio but the feel of a smaller, indie game team.

Our goals are simple: Make great games, strive to always be improving, and live up to the motto you gotta have fun to make fun.

This a full-time position onsite at our studio in Timonium, MD.
Due to the circumstances surrounding COVID19 positions will begin remote before transitioning to onsite.

Applicants should download DomiNations on iOS or Android and be prepared to discuss the game.",4.9,"Big Huge Games
4.9","Timonium, MD",-1,51 to 200 Employees,2013,Subsidiary or Business Segment,Video Games,Media,Unknown / Non-Applicable,-1,0,38000,75000,56500.0,Big Huge Games,MD,7,0,1,0,0,1,1,0,0,2927,na
10,Data Analyst II,$41K-$78K (Glassdoor est.),"We know why you are reading about this opportunity. You are driven to achieve goals. You are looking to make a direct impact. You want to work in a culture where your co-workers work as part of a diverse team, communicate across departments, and have a positive attitude. If we had to guess, you are innovative with great ideas, want to bring efficiencies to processes, and are looking to grow your career. Are we right? If so, let’s talk about who we are.

Who We Are

Greenphire is a leading provider of clinical payment and communication solutions. We provide software as a service (SaaS) to reduce costs, increase participant retention, and produce quantifiable results for our clients in the clinical trial industry. Our vibrant culture focuses on four key values: All In, As a Team, For a Purpose, Solving Problems.

We are a multi-year recipient of the Philadelphia Business Journal’s Best Places to Work award, and love to give shout-outs and awards to our employees. Our For A Purpose committee champions philanthropic activities throughout the year so employees can give back to our community. We have a diversity committee that focuses on breaking down barriers, recognizing that our uniqueness is what makes us so successful!

To Join Our Team

You must love numbers and manipulating large sets of data. You also must be analytical with experience extracting and uploading data into a system - paying special attention to detail and taking pride in accuracy. At the same time, you have to be able to excel in a fast-paced environment and love ever-changing and advancing work. If automating and making things efficient is your thing, look no further!

How You Will Contribute
Build internal relationships and deliver data science solutions to meet their needs
Extract and manipulate large amounts of data using SQL, Excel and visualization analytics software
Present analytics and data visualizations for stakeholders, with actionable insights
Provide ad hoc queries, and develop reports that provide insights and access to key performance metrics
Integrate data from multiple sources into reports for internal and external sources
Conduct quality control and auditing to ensure accuracy and appropriateness of data and configurations
Work cross-functionally with Operations and Technology to improve data quality and reporting
For Consideration You Will Have
Bachelor’s degree in computer science, data science, finance or equivalent work experience
SQL and advanced Excel experience
Prior coding experience (a plus)
Proficiency with visual analytics software; MS Power BI, MS SQL Server Analysis is a plus!
Proven analytical, evaluative, and problem-solving abilities
Passion for sharing your skills and data knowledge with others
Demonstration of high degree of productivity while handling multiple tasks simultaneously, and easily adaptable to urgent matters when required
Strong written and verbal communication, and research skills
Strong relationship building skills for collaboration",3.6,"Greenphire
3.6","King of Prussia, PA",-1,201 to 500 Employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1,0,41000,78000,59500.0,Greenphire,PA,12,0,1,0,0,0,1,0,1,3003,na
